"Name of Satellite, Alternate Names"	Country/Org of UN Registry	Country of Operator/Owner	Operator/Owner	Users	Purpose	Detailed Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																												
"TDRS-12 (Tracking and Data Relay Satellite, TDRS L)"	NR (1/15)	USA	National Aeronautics and Space Administration (NASA)	Government	Communications		GEO			"35,780"	"35,785"	5.93E-05	6.99	1435.88	"3,454"	"1,600"	"3,500 (EOL)"	1/23/2014	15 yrs.	Boeing Satellite Systems	USA	Cape Canaveral	Atlas 5	2014-004A	39504	New generation of tracking and commmunication satellites.		SC - ASCR	http://www.nasaspaceflight.com/2014/01/ula-atlas-v-launch-tdrs-l/	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014	http://space50.kosmo.cz/s40/2014/I004A.HTM																																																																																																																																																																																																																															
"TDRS-3 (Tracking and Data Relay Satellite, TDRS-C) "	USA	USA	National Aeronautics and Space Administration (NASA)	Government	Communications		GEO		84.41	"35,693"	"35,878"	2.19E-03	11.53	1436.06	"3,180"	"1,600"	"1,800"	9/29/1988	10 yrs.	TRW Defense and Space Systems Group	USA	Cape Canaveral	Space Shuttle (STS 26)	1988-091B	19548	Backup; still partially operational.		JM/12_08		http://amanda.physics.wisc.edu/data/comms-summary.shtml	http://nssdc.gsfc.nasa.gov/database/MasterCatalog?sc=1988-091B	http://nmsp.gsfc.nasa.gov/tdrss/tconst.html																																																																																																																																																																																																																														
"TDRS-5 (Tracking and Data Relay Satellite, TDRS-E)"	USA	USA	SES Americom (SES [Société Européenne des Satellites (SES)])	Government/Commercial	Communications		GEO		-167.14	"35,773"	"35,796"	2.73E-04	9.4	1436.99	"3,180"	"1,600"	"1,800"	8/2/1991	10 yrs.	TRW Defense and Space Systems Group	USA	Cape Canaveral	Space Shuttle (STS 43)	1991-054B	21639	Used by South Pole station.		JM/12_08	http://www.friends-partners.ru/partners/mwade/craft/tdrs.htm	http://ses-americom.com/satellites/tdrs_5.html	http://www.spaceflightnow.com/atlas/ac144/021201tdrss.html	http://nmsp.gsfc.nasa.gov/tdrss/tconst.html																																																																																																																																																																																																																														
"TDRS-6 (Tracking and Data Relay Satellite, TDRS-F)"	USA	USA	NASA/SES Americom (SES [Société Européenne des Satellites (SES)])	Government/Commercial	Communications		GEO		-171.35	"35,773"	"35,787"	1.66E-04	8.74	1435.7	"3,180"	"1,600"	"1,800"	1/13/1993	10 yrs.	TRW Defense and Space Systems Group	USA	Cape Canaveral	Space Shuttle (STS 54)	1993-003B	22314	"Tracking and communications with space shuttle, other missions; leased access to C-band by Americom."		JM/12_08	http://www.worldsat.net/610.html	http://ses-americom.com/satellites/tdrs_6.html	http://www.spaceflightnow.com/atlas/ac144/021201tdrss.html	http://nmsp.gsfc.nasa.gov/tdrss/tconst.html																																																																																																																																																																																																																														
"TDRS-7 (Tracking and Data Relay Satellite, TDRS-G)"	USA	USA	National Aeronautics and Space Administration (NASA)	Government	Communications		GEO		-150.53	"35,767"	"35,803"	4.27E-04	10.6	1436.04	"3,180"	"1,600"	"1,800"	7/13/1995	10 yrs.	TRW Defense and Space Systems Group	USA	Cape Canaveral	Space Shuttle (STS 70)	1995-035B	23613	"Tracking and communications with space shuttle, other missions."		JM/12_08		http://nssdc.gsfc.nasa.gov/spacewarn/spx501.html	http://www.spaceflightnow.com/atlas/ac144/021201tdrss.html	http://nmsp.gsfc.nasa.gov/tdrss/tconst.html																																																																																																																																																																																																																														
"TDRS-8 (Tracking and Data Relay Satellite, TDRS-H)"	USA	USA	National Aeronautics and Space Administration (NASA)	Government	Communications		GEO		88.76	"35,768"	"35,808"	4.74E-04	0.9	1436.2	"3,180"	"1,600"	"2,300 (EOL)"	6/30/2000	11 yrs.	Boeing Satellite Systems	USA	Cape Canaveral	Atlas 2A	2000-034A	26388	"Tracking and communications with space shuttle, other missions; not fully functional."		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/spx560.html	http://www.boeing.com/defense-space/space/bss/factsheets/601/tdrs_hij/tdrs_hij.html	http://www.spaceflightnow.com/atlas/ac144/021201tdrss.html	http://nmsp.gsfc.nasa.gov/tdrss/tconst.html	http://www.spaceandtech.com/digest/flash-articles/flash2000-035.shtml																																																																																																																																																																																																																													
"TDRS-9 (Tracking and Data Relay Satellite, TDRS-I)"	USA	USA	National Aeronautics and Space Administration (NASA)	Government	Communications		GEO		-62.43	"35,768"	"35,809"	4.86E-04	0.02	1436.11	"3,180"	"1,600"	"2,300 (EOL)"	3/8/2002	11 yrs.	Boeing Satellite Systems	USA	Cape Canaveral	Atlas 2A	2002-011A	27389	"Tracking and communications with space shuttle, other missions. In storage."		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/spx581.html	http://www.boeing.com/defense-space/space/bss/factsheets/601/tdrs_hij/tdrs_hij.html	http://www.spaceflightnow.com/atlas/ac144/021201tdrss.html	http://nmsp.gsfc.nasa.gov/tdrss/tconst.html																																																																																																																																																																																																																														
TechDemoSat-1	United Kingdom	United Kingdom	Technology Strategy Board	Government	Technology Development		LEO		0	625	631	4.29E-04	98.4	97.27	150			7/8/2014		Surrey Satellite Technology Ltd. (SSTL)	United Kingdom	Baikonur Cosmodrome	Soyuz-2.1b	2014-037H	40076	"Carrying eight technology tests/experiments including measurement of sea state using radio waves reflected off the ocean surface, monitoring the space environment in the vicinity of the satellte for research into space weather, and activaion of a deOrbitSail."		ZARYA	http://www.sstl.co.uk/Missions/TechDemoSat-1--Launched-2014/TechDemoSat-1/TechDemoSat-1--The-Mission	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014																																																																																																																																																																																																																																
"TecSAR (Ofeq 8, Polaris)"	NR	Israel	Defense Ministry	Military	Earth Observation	Radar Imaging	LEO		0	405	580	1.28E-02	41.03	94.5	300	260		1/21/2008		Israel Aerospace Industries (IAI)	Israel	Sriharikota Launch Station	PSLV C10	2008-002A	32476	Radar reconnaissance; one meter resolution. Said to carry a Synthetic Aperture Radar (SAR).			http://www.iai.co.il/Default.aspx?docID=32812&amp;FolderID=15911&amp;lang=en&amp;res=0&amp;pos=0	http://nssdc.gsfc.nasa/gov/spacewarn/spx651.html	http://www.williambowles.info/isrl-pal/vtjp/2008/0108/vtjp_210108.html																																																																																																																																																																																																																															
Telkom 1 	Indonesia	Indonesia	PT Telkomunikasi	Commercial	Communications		GEO		108.01	"35,778"	"35,796"	2.13E-04	0.02	1436.13	"2,763"	"1,700 (BOL)"	"4,000"	8/12/1999	15 yrs.	Lockheed Martin Missiles and Space	USA	Guiana Space Center	Ariane 44P	1999-042A	25880	TV broadcasting in Indonesia.		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx550.html	http://www.sat-address.com/tt/TelkomVision.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://www.lib.cas.cz/www/space.40/1999/042A.HTM																																																																																																																																																																																																																													
Telkom 2	Indonesia	Indonesia	PT Telkomunikasi	Commercial	Communications		GEO		118.02	"35,781"	"35,793"	1.42E-04	0.04	1436.1	"1,930"	899		11/16/2005	15 yrs.	Orbital Sciences Corp.	USA	Guiana Space Center	Ariane 5 ECA	2005-046A	28902	"24 C-band transponders; internet, data, voice and video services to Indonesia."		JM/12_08	http://english.people.com.cn/200511/18/eng20051118_222343.html	http://www.orbital.com/Template.php?Section=News&NavMenuID=32&template=PressReleaseDisplay.php&PressReleaseID=533	http://www.orbital.com/SatellitesSpace/GEO/TELKOM/	http://www.lib.cas.cz/www/space.40/2005/046B.HTM																																																																																																																																																																																																																														
Telstar 11N	NR	Canada	"Telesat Canada Ltd. (BCE, Inc.)"	Commercial	Communications		GEO		-37.05	"35,774"	"35,801"	3.20E-04	0.04	1436.13	"4,010"			2/26/2009	15 yrs.	Space Systems/Loral	USA	Sea Launch (Odyssey)	Zenit 3SLB	2009-009A	34111	"39 Ku-band transponders; North America, Europe, Africa, across Atlantic."		SC - ASCR	http://nssdc.gsfc.nasa.gov/spacewarn/spx664.html	http://www.telesat.ca/File/B594215A79394AD69A24FA7A237275E7																																																																																																																																																																																																																																
